"idd","avgLL_FM2"
1,-12.5784188257827
2,-12.4677078847816
3,-9.42764782069414
4,-7.55403671148789
5,-10.9892359188691
6,-7.2319255420027
7,-11.6193387524772
8,-10.5757299644082
9,-12.2764283999628
10,-11.6386850193026
11,-6.42382065074651
12,-11.8336937803424
13,-10.5094335845626
14,-11.8057985950134
15,-9.78696963560001
16,-6.34313942120391
17,-5.77949954117382
18,-6.56011270383811
19,-14.7980505616447
20,-10.9718936022399
21,-11.1720383682518
22,-10.6418949771907
23,-8.43167247895129
24,-7.57272808528656
25,-8.82205274936123
26,-9.87378512537096
27,-14.6678446163431
28,-13.4761755329326
29,-7.35945086366236
30,-9.07816166002954
31,-5.80903470143771
32,-8.346065272321
33,-9.67336112051091
34,-5.56182642339528
35,-10.8134834409244
36,-11.6640567918751
37,-8.50488529153908
38,-10.1341984863694
39,-11.6317888190932
40,-10.8868615722593
41,-9.31910905810201
42,-8.45805750957549
43,-10.1790118399745
44,-14.1267837191458
45,-13.5504588009302
46,-15.317506305196
47,-9.32905627243632
48,-11.1412676269898
49,-13.2246083873155
50,-9.69321624199551
51,-12.1989483136985
52,-14.400791364642
53,-12.7681348488935
54,-16.325369338628
55,-15.2443626716574
56,-7.38532780344116
57,-12.3576500721467
58,-11.8883822021751
59,-9.90923605557145
60,-12.1214195556044
61,-7.75081531182059
62,-6.22579799695252
63,-8.47381063648893
64,-8.23952568161354
65,-8.44100377947397
66,-10.0929363677203
67,-8.10416785572864
68,-6.48088277511625
69,-8.75166075764205
70,-10.288039492131
71,-6.57302226714212
72,-8.99132550712353
73,-7.85852424366198
74,-9.6910584353806
75,-7.58874744059029
76,-14.839761581647
77,-13.8030295390371
78,-13.5204862119708
79,-12.7515562587437
80,-9.73634371579082
81,-12.7271539168007
82,-12.2448667737426
83,-11.973601312905
84,-12.0597231057944
85,-9.61140416716064
86,-13.8021705080899
87,-13.9741308991438
88,-7.73191650178134
89,-7.37842278705319
90,-10.512112047266
91,-9.67255054636735
92,-13.703445741567
93,-12.1422433196534
94,-10.004780526692
95,-10.4991102885031
96,-7.46940725428129
97,-8.57478617468528
98,-8.89897415637945
99,-10.4676790429953
100,-13.0862063137848
101,-7.65364109100031
102,-13.1285702605079
103,-13.1306463135596
