"idd","avgLL_NLN"
1,-12.9285309608119
2,-12.6669273304579
3,-9.63254916720111
4,-7.44828269307785
5,-10.9327271906413
6,-7.24752673468702
7,-11.12830638064
8,-10.5659998750602
9,-12.3772665389696
10,-11.4810857487239
11,-6.62465595105257
12,-11.8252638705876
13,-10.3928294761093
14,-11.5488053895949
15,-9.88035187539895
16,-6.33832786961318
17,-5.83321825508587
18,-6.53873986779331
19,-14.7279011705841
20,-10.7389887057179
21,-10.8363449035899
22,-10.800873368202
23,-8.60881450840956
24,-7.21176600177841
25,-8.66559921872309
26,-10.1936855169316
27,-14.2344304314722
28,-13.4795166710569
29,-7.42922231514412
30,-9.01161139517054
31,-5.89553202331552
32,-8.51924024857382
33,-9.51433482520693
34,-5.40959710939892
35,-10.7402811081266
36,-11.5907909685405
37,-8.05152799316711
38,-10.0922006880984
39,-11.5842560068672
40,-10.7458794198041
41,-9.53168823647569
42,-8.53037994881127
43,-10.1241000694164
44,-14.3793770502548
45,-13.3927932667874
46,-15.6452090060406
47,-9.19976613620204
48,-11.3000647668594
49,-13.2926362120239
50,-9.31666481194019
51,-12.4913034684499
52,-14.4485513428648
53,-12.5250371651287
54,-16.0426591897252
55,-14.837144262287
56,-7.42500418221265
57,-12.3099992818345
58,-11.8184425637073
59,-9.68319170733965
60,-12.3339182881619
61,-7.65715593316766
62,-6.00558055633057
63,-8.77430267735355
64,-8.24049952606827
65,-8.61897670019907
66,-10.2519310211101
67,-7.55381082904493
68,-6.5970010922438
69,-8.66892536461911
70,-10.3543122051262
71,-6.7105725707452
72,-8.96741766247221
73,-8.28742738685068
74,-9.4965283740029
75,-7.49776967851094
76,-14.8334499517302
77,-13.5960326499466
78,-13.210660728828
79,-13.0101371849369
80,-10.0430187774002
81,-12.1732620031043
82,-12.2338290934544
83,-12.4019939297159
84,-11.8327963133778
85,-9.90026273941142
86,-14.4109201466966
87,-14.2966086319282
88,-7.9479215643922
89,-7.42754692942992
90,-10.3109838674351
91,-9.50723348645144
92,-13.5784381708768
93,-12.0889041765691
94,-10.4837170341098
95,-10.6615018793789
96,-7.34951799687718
97,-8.77150622675917
98,-9.01621162456155
99,-10.4272017569469
100,-13.115239743653
101,-7.67589219944609
102,-13.2030441134204
103,-12.9874821591355
104,-5.24226938376718
105,-9.24300682589821
106,-10.2280331841523
107,-11.0936147524682
108,-11.2293891128862
109,-10.2508786024564
110,-8.68777791449311
111,-12.4493168237914
112,-10.8499488158499
113,-7.52007893413465
114,-9.4239983205137
115,-7.8099142969571
116,-8.10715842776044
117,-8.35495296867284
118,-10.2406419735305
119,-10.3446051796819
120,-11.5460258298425
121,-15.0372093376154
122,-6.56981848200438
123,-13.7762413271849
124,-8.44944697871025
125,-10.1825672555995
126,-9.56111099172911
127,-7.52717649695278
128,-11.0889311376071
129,-10.8119651566133
130,-12.6595478720256
131,-10.7281843183108
132,-7.0594677662622
133,-13.4422529473005
134,-9.8592678952192
135,-11.6141762966174
136,-9.92380590644666
137,-8.87470394250756
138,-14.9415036729894
139,-5.84540210993057
140,-11.1323260040364
141,-11.4226283672201
142,-13.8837944575256
143,-10.1133062683604
144,-15.0573751381965
145,-7.53802837148664
146,-6.45195868814697
147,-10.058224173581
148,-7.52822334712809
149,-4.8925956137807
150,-11.607556111686
151,-6.74924490372673
152,-11.1482490443706
153,-12.3064290609579
154,-14.9967514284265
155,-10.0412264985001
156,-14.545377431787
157,-14.2656464223077
158,-10.6234160582549
159,-16.8656594622855
160,-11.8034340377669
161,-9.44637130040547
162,-12.0816631465791
163,-13.1216765963762
164,-8.124991001187
165,-11.8445180279053
166,-12.5329918768399
167,-8.96371286054297
168,-13.0459697719107
169,-11.6675868028319
170,-10.6699266086107
171,-9.66081585526795
172,-10.9713425847507
173,-11.3635334901834
174,-12.0888200181721
175,-13.3139871680091
176,-8.48632904857129
177,-13.4247718159196
178,-6.69085931407035
179,-10.5540267969641
180,-11.7686012978788
181,-11.7161070046053
182,-11.2731454330843
183,-4.16707425900329
184,-12.0910054074261
185,-9.61524541497617
186,-8.28524948113335
187,-12.3924854903631
188,-15.7605826129706
189,-6.25531491917224
190,-9.17515532046155
191,-9.1009478473464
192,-7.87793054594864
193,-11.1582996736672
194,-8.84200524302631
195,-7.15712170265907
196,-11.809921911005
197,-15.7483960247845
198,-10.3480249530628
199,-11.8205323210103
