"idd","avgLL_LN"
1,-14.7011719756524
2,-13.0794117281123
3,-9.6306951646452
4,-8.3306801154299
5,-10.9475388467855
6,-7.46473708296004
7,-11.1235499277068
8,-11.3841541556705
9,-11.7025992829168
10,-10.0184474271473
11,-5.74811765540706
12,-11.0615398720272
13,-11.2175352629686
14,-12.2651893793428
15,-11.0871333045361
16,-6.65816338424503
17,-6.04517911778362
18,-5.91501488631241
19,-14.55730356534
20,-11.9458976025741
21,-11.3807313425098
22,-11.2203012003047
23,-8.76144088143326
24,-8.09544311498565
25,-9.73168790453481
26,-9.80750995481093
27,-13.8330365155196
28,-13.3364434363958
29,-9.22036806594437
30,-11.8734529118969
31,-5.48828672719023
32,-8.45890954559064
33,-9.5180115846019
34,-5.18100933845986
35,-10.0047733329246
36,-11.73412941414
37,-9.11954672082852
38,-11.7448513611048
39,-11.2011894672178
40,-10.3183673991522
41,-10.2755266955482
42,-8.34520941503933
43,-10.18371523907
44,-13.5627452762443
45,-13.8871359232853
46,-14.9895380106473
47,-10.737035309847
48,-10.3327400355341
49,-13.7971036983065
50,-10.279947495282
51,-12.0678487249011
52,-13.5617070699075
53,-13.7392902100418
54,-15.6033490424622
55,-15.8977595889575
56,-9.19021337145
57,-12.0296954041052
58,-10.9796481253079
59,-9.64520511265675
60,-12.7979322333611
61,-7.14056840193889
62,-7.90055205007937
63,-7.95933481275025
64,-10.1646773793391
65,-9.39844751916776
66,-9.49759020552062
67,-8.15803961017468
68,-6.16291655500166
69,-8.65615208052733
70,-11.420118292291
71,-6.6543966789016
72,-8.44310841287004
73,-8.14665972667531
74,-9.09209864027358
75,-7.06486268989803
76,-13.871259907159
77,-13.7241036564184
78,-14.4844693825711
79,-12.4911936415543
80,-9.34234857329924
81,-15.5970056424439
82,-12.2038291423128
83,-11.3140107180528
84,-12.1935832572092
85,-12.0182329342432
86,-13.4679387781915
87,-14.955336570505
88,-7.91622304824166
89,-8.58658102767068
90,-13.0875569363298
91,-9.22191952599358
92,-12.6598701355703
93,-13.2196138811528
94,-10.0929200704244
95,-10.4604503581529
96,-8.51724782159049
97,-8.48337531538804
98,-9.7237068309515
99,-10.7453383254798
100,-12.9559160621419
101,-8.32744777526676
102,-13.0928917444377
103,-13.0684618794226
104,-5.48929756946193
105,-9.8516301045166
106,-10.0918960278693
107,-10.9847318386033
108,-11.554487788465
109,-10.314327358768
110,-8.624359567896
111,-12.4864991897978
112,-11.4233306493637
113,-6.83247622157803
114,-9.93438860742618
115,-8.09830982581328
116,-9.66298350550475
117,-8.32143582822112
118,-10.5087934874747
119,-11.1196746107449
120,-11.8242333477744
121,-15.3927466734585
122,-9.42843160325714
123,-13.9144126617416
124,-8.82880627771349
125,-9.87203044735311
126,-10.7570402678043
127,-10.3862889406629
128,-9.72046523884586
129,-10.6964703146799
130,-11.8977379369435
131,-10.8835177567774
132,-7.08578495579524
133,-13.2342921140765
134,-11.3613900287286
135,-11.1259430154379
136,-9.02110284692426
137,-9.55952972786836
138,-15.2394911837343
139,-5.37704572397506
140,-11.1151305200805
141,-12.5933089874578
142,-13.147909616393
143,-11.0506772866999
144,-14.1490342644344
145,-7.23149138701285
146,-7.6149956362574
147,-9.15535765848492
148,-8.59176270136126
149,-6.51846467203839
150,-12.8720547326369
151,-7.21660821471393
152,-11.8868169573383
153,-12.2215725662225
154,-14.4738515541582
155,-11.4143616524196
156,-14.5975806230329
157,-13.7551879328648
158,-12.5854958220571
159,-16.2536324868923
160,-11.1838476519353
161,-8.56597282070133
162,-11.5618326610201
163,-12.713708094444
164,-8.20534555845716
165,-11.8924321902519
166,-12.9176326288181
167,-9.39422700530211
168,-13.321453947745
169,-11.6396935381436
170,-10.7598774708139
171,-9.23066428842053
172,-11.6058009658966
173,-10.927730759847
174,-11.8479856195085
175,-13.3232837017545
176,-9.62012693828438
177,-13.2756564478244
178,-7.02924553180125
179,-11.5449119702587
180,-13.7479932644133
181,-12.6064506400727
182,-11.4408978415798
183,-4.69971043513105
184,-12.6173751700381
185,-9.55786816265882
186,-6.86202288703558
187,-12.5375157820946
188,-15.6146548166099
189,-7.14506213956142
190,-10.6314652500916
191,-9.37685484643905
192,-9.21289573317013
193,-12.484166245182
194,-10.4930449021025
195,-7.04385410028729
196,-11.3592921830764
197,-14.6670510109954
