"idd","avgLL_LU"
1,-12.8872275681435
2,-12.4091729610417
3,-9.58236572247652
4,-7.45706751694536
5,-10.781287594995
6,-7.24526003784456
7,-11.4932900849071
8,-10.218090316375
9,-12.3830769987286
10,-11.8211282273258
11,-6.9090169881252
12,-11.9748260858461
13,-10.2156779677082
14,-11.5795344978915
15,-9.59079892147879
16,-6.36276576879954
17,-5.69745289289402
18,-6.49299241961083
19,-14.9013181501729
20,-10.6377016612249
21,-10.207060367832
22,-10.5614464395707
23,-8.67319588912236
24,-7.41881588745343
25,-8.70664317612969
26,-11.1737874148219
27,-14.6947210396363
28,-13.6701885176668
29,-7.09820007268137
30,-9.0928139974463
31,-5.80734773321544
32,-8.430750718762
33,-9.34980239932823
34,-5.83089390613062
35,-10.8525557273083
36,-12.0925068900128
37,-8.09628758335813
38,-9.88115581671678
39,-11.1548074374243
40,-10.665650432847
41,-9.25795964884463
42,-8.92981969613308
43,-10.0098382051662
44,-14.291983253112
45,-12.9810340664918
46,-15.0983206119244
47,-8.95833935592042
48,-11.3464485303255
49,-13.592519239195
50,-9.43837908574664
51,-11.7291898311541
52,-14.4191474051019
53,-12.5152293031711
54,-16.1215693583507
55,-15.6213355620565
56,-7.49542040594304
57,-12.2065984678015
58,-12.200779214175
59,-9.4840514347223
60,-12.7397913599842
61,-7.45323883132666
62,-6.22603156689216
63,-7.75850645003109
64,-8.04388234281052
65,-8.09891587747815
66,-10.495087330455
67,-7.70084547147641
68,-6.80761185284692
69,-8.37073636385065
70,-10.466013106596
71,-6.57248169756072
72,-8.88708073763388
73,-8.12821473120944
74,-9.52429098378777
75,-7.68270805764332
76,-14.6813999279778
77,-13.4633309691022
78,-13.5170504588949
79,-12.9247081327192
80,-9.86514129703042
81,-12.5731529813748
82,-12.5420660232418
83,-12.2404558522174
84,-11.8175385572674
85,-9.65902171588228
86,-14.3430357309408
87,-14.3399810265304
88,-7.6833606215406
89,-7.07058537284016
90,-10.7283660531856
91,-9.67505542849788
92,-13.4274103880759
93,-12.1118228137642
94,-10.3225215553233
95,-10.4044306046483
96,-7.36812057470406
97,-8.52674561997916
98,-8.90451719399312
99,-11.0821047646799
100,-13.4176813608622
101,-7.37372658400203
102,-13.2650964499063
103,-12.7596062036389
104,-4.92170596090531
105,-9.38607507921957
106,-10.4175867971859
107,-11.1017422930684
108,-11.3951005349299
109,-9.92612007671045
110,-8.60847060781848
111,-11.3685156461077
112,-10.4214006781219
113,-7.5008982046028
114,-9.27365167781132
115,-7.69217201248324
116,-8.43407533107981
117,-8.17715359045516
118,-10.2034584212497
119,-10.095836493458
120,-11.6640202809204
121,-15.8167332307641
122,-6.69810364225821
123,-13.4986902663498
124,-8.22444703241506
125,-10.1552813403146
126,-9.29312634028843
127,-7.52643846416607
128,-10.9881746902026
129,-10.9721041356035
130,-12.8389036562333
131,-10.8587584088859
132,-7.42385941619472
133,-13.1580573493695
134,-10.4332534730116
135,-11.7979622290486
136,-9.31997863726807
137,-9.16363902122371
138,-14.7691654942224
139,-5.77283348019669
140,-10.9116532152317
141,-11.4736666798062
142,-13.2679664150181
143,-9.93626446882958
144,-14.9012374068507
145,-7.11877380902788
146,-6.72063213085776
147,-10.0871907829623
148,-7.25447728098129
149,-5.0008015616023
150,-11.9354086788643
151,-7.09035260542917
152,-10.732639928741
153,-12.4791956127655
154,-14.9943739423753
155,-11.1208323344402
156,-15.063906963009
157,-14.386343512457
158,-11.2102306512404
159,-16.939122752348
160,-11.8057250759025
161,-9.43768915084345
162,-11.8711244893038
163,-13.203227674621
164,-8.01253401558757
165,-12.3284557593096
166,-12.3129216438444
167,-8.95223800739693
168,-13.0695693461416
169,-11.6494940391876
170,-10.3542631786629
171,-10.1171788475605
172,-10.8122961439539
173,-11.430974527461
174,-12.1208220608244
175,-13.6203853110914
176,-8.11624749024733
177,-13.5395205088038
178,-6.67956274682396
179,-10.1917865547836
180,-11.7301592992703
181,-11.6729285650217
182,-11.1285655960434
183,-4.30311875416173
184,-12.7692965550672
185,-9.57524155404026
186,-8.55269298553293
187,-12.098986371112
188,-15.6770297473908
189,-6.09406495807244
190,-8.94789180111048
191,-9.52195071046054
192,-8.16258639816154
193,-11.2854324707255
194,-8.42642854883723
195,-7.15490500971274
196,-11.6378293241408
197,-16.3036117804321
198,-10.1867071988816
199,-11.8260133632727
200,-14.3870681993879
201,-12.1275283907459
202,-11.7674418165859
203,-13.0632915935067
204,-14.0849295546232
205,-12.9888227920637
206,-10.0413320539646
207,-11.4228295108018
208,-8.94111764127625
209,-7.8120972327066
210,-15.2108063986288
211,-9.01465464752745
212,-12.9629641554576
213,-15.6755654972853
214,-11.133695578395
215,-8.71754764651034
216,-6.28823649261125
217,-16.4615058672315
218,-9.41520385073942
219,-9.13913369026
220,-8.08964620193068
221,-10.1790587147685
222,-12.2622467914207
223,-12.5243486523938
224,-11.400994839346
225,-8.55228569108347
226,-10.2342471140543
227,-18.4196690670751
228,-14.8250790834569
229,-13.2630840975671
230,-9.39710987079178
231,-7.90766389083641
232,-17.3472303653232
233,-8.83911217172845
234,-11.8465900131769
235,-13.1819477546514
236,-11.1784909184797
237,-12.5755222104032
238,-9.30723396672071
239,-14.4582164987218
240,-7.96375846375848
241,-13.436545207416
242,-12.6767037166726
243,-9.63573119596951
244,-12.2922174132171
245,-11.3164582693223
246,-8.99566165061656
247,-12.5260542528222
248,-10.7655667100421
249,-6.94287090583205
250,-4.37455692390601
251,-8.22424195942339
252,-10.5428539871808
253,-13.7889565424995
254,-6.93390080539315
255,-10.6339170673776
256,-9.08289345236451
257,-8.80159345029903
258,-12.1109592545472
259,-14.3993557826474
260,-8.72573390461973
261,-8.08200421246366
262,-8.97765941848944
263,-12.8779017101176
264,-12.190655341555
265,-12.5160882045488
266,-14.1979668877181
267,-9.92994569419374
268,-11.1799600982902
269,-7.79461116248511
270,-11.3183520328298
271,-8.24369247688869
272,-12.5335304910984
273,-12.0271106258325
274,-12.4247217892563
275,-6.12687946594039
276,-12.0691640494733
277,-11.7692884524769
278,-12.774704958872
279,-8.77995437241409
280,-15.4283795084189
281,-12.4834867910306
282,-8.17869111186879
283,-13.2203377441642
284,-11.2989162118598
285,-6.31653907037768
286,-12.8378119162437
287,-11.3678021827415
288,-9.48715102562499
289,-9.68071651370179
290,-11.3725323837242
291,-12.5173340953578
292,-8.1549820800366
293,-8.01229089315683
294,-11.3971486018267
295,-5.68106312271326
296,-7.51525530456562
297,-9.25099003437967
298,-9.38449489297421
299,-12.383263404416
300,-10.4221281453067
301,-6.5812853629647
302,-6.24973698873519
303,-11.7417937403845
304,-6.50357894926703
305,-8.52886131030348
306,-10.7181333872926
307,-8.58864610720729
308,-6.8148027905335
309,-7.66425323214186
310,-13.3037857544168
311,-15.7104183638878
312,-12.7536717447418
313,-8.60661389423629
314,-7.65590849584566
315,-7.7428205428789
316,-8.16780296515923
317,-8.35101014870735
318,-5.4135215321749
319,-13.391631076089
320,-10.3549773382405
321,-8.25346604062459
322,-7.24925650905696
323,-12.644653793972
324,-9.62747689831539
325,-14.5696496050131
326,-9.3865295151409
327,-10.4410135995742
328,-14.5037313530055
329,-8.40599567454093
330,-15.1259776610182
331,-11.0451992868482
332,-7.58049350940012
333,-6.77452739604922
334,-8.36593988884167
335,-8.73092396935655
336,-13.372962958271
337,-13.5314869248778
338,-8.01865493387
339,-6.66511319480227
340,-12.4319585826374
341,-10.184315182994
342,-11.8498239609094
343,-13.469291623019
344,-7.85744349749943
345,-13.0451431958771
346,-12.1175925767489
347,-14.9051048511397
348,-9.54594894067758
349,-7.33151239942569
350,-15.9921772134869
351,-8.55055354312513
352,-10.2490150383906
353,-12.7789804059034
354,-14.5265039154585
355,-9.10713471697455
356,-7.6422483654149
357,-13.5913909597005
358,-12.1932699640628
359,-13.9911728688844
360,-6.44050264277742
361,-12.8329425676874
362,-7.33974839697823
363,-4.61048063898988
364,-11.8325510830374
365,-8.97672078322634
366,-9.48145178945256
367,-10.3904137029402
368,-11.9589050650445
369,-10.5225730540839
370,-13.2816985259815
371,-11.5608168710749
372,-11.5499468376246
373,-10.568233178884
374,-8.74306424833593
375,-11.071285056403
376,-8.7107989201298
377,-8.08231633283535
378,-8.95128647951642
379,-9.86456698814156
380,-7.88496182227436
381,-9.75927160412255
382,-8.8133780885824
