"idd","avgLL_T"
1,-12.5854431360513
2,-12.5656901975035
3,-10.1575635712677
4,-7.38534624930217
5,-10.8504584620289
6,-7.40251925773905
7,-11.5487410072106
8,-10.3877097979481
9,-12.5034159588025
10,-11.5276120087753
11,-6.60932653960818
12,-11.8091954379318
13,-10.4942314116918
14,-11.8744990158695
15,-9.80461870605008
16,-6.45005338513703
17,-5.95118801212295
18,-6.39747661366329
19,-14.8812974685101
20,-11.2283428590526
21,-10.5973835829569
22,-10.5935077237752
23,-8.75020881770368
24,-7.43431798876754
25,-8.79543831529458
26,-10.8571410651523
27,-14.8212636515349
28,-13.6431489757301
29,-7.23647287509474
30,-9.08436088828005
31,-5.84012889604396
32,-8.31234816425343
33,-9.62426460254892
34,-5.61187011168083
35,-10.7694382441455
36,-11.7869233042706
37,-8.38303763653715
38,-10.4209655682548
39,-11.6015631401784
40,-10.8114014835263
41,-9.37658624680699
42,-8.38270536818666
43,-9.97204799929499
44,-14.4081416864223
45,-13.7336625213201
46,-15.4111768896753
47,-9.0793970355831
48,-11.1253771707623
49,-13.4137615979705
50,-9.45992403471929
51,-11.8318265607904
52,-14.5027069445266
53,-13.0236784598394
54,-16.2535210319759
55,-15.7916265514695
56,-7.50017262755344
57,-12.221414157844
58,-11.9384532882797
59,-9.52211309976485
60,-12.6160852346919
61,-8.04432675720179
62,-5.90994942517349
63,-8.17799478516279
64,-8.21911734592402
65,-8.16535091353876
66,-10.4088413754291
67,-8.1292991093836
68,-6.83698972600567
69,-8.40965931723026
70,-10.8004083579923
71,-6.50210419403754
72,-9.19808452537782
73,-8.02893247630273
74,-9.61917059932007
75,-7.81676277801385
76,-14.5939832908381
77,-13.6170381478947
78,-13.2368881582481
79,-13.2159037817345
80,-9.85542768134021
81,-12.6861425412774
82,-12.2502555500953
83,-11.9049354882989
84,-12.0418849203903
85,-9.57798008948973
86,-13.9300042840703
87,-13.6307432005371
88,-7.89112500593082
89,-7.22223627772541
90,-10.7468027008276
91,-9.3766385385717
92,-13.6732208621502
93,-12.2126956596236
94,-10.2814896954778
95,-10.3104899906797
96,-7.53535968133283
97,-8.68457802654965
98,-8.87609442891103
99,-10.2804647514164
100,-13.1577165281408
101,-7.44745418629851
102,-13.3757447014617
103,-13.288611913436
104,-4.93409535614277
105,-9.44469770881894
106,-10.3482803413732
107,-10.4887879505919
108,-11.4451570023036
109,-10.1670353747823
110,-8.38395622375818
111,-11.6085674144515
112,-10.5610300471552
113,-7.5725575091367
114,-9.37701224307121
115,-7.72326049240682
