"idd","avgLL_U"
1,-13.4437586711474
2,-12.3238753869295
3,-9.72015485738135
4,-7.55458669874461
5,-11.2954782830378
6,-7.28181846255512
7,-12.0219511770777
8,-10.1618130313989
9,-12.6091023618902
10,-11.831754372441
11,-6.80900757096173
12,-11.898191385462
13,-10.2393862193046
14,-11.5970073372987
15,-9.70637055820197
16,-6.30634218803665
17,-5.8824824878197
18,-6.3408380278264
19,-14.811658058722
20,-11.119142257757
21,-10.3477184076037
22,-10.5556068693122
23,-8.74865517935045
24,-7.1388689640697
25,-8.66043669312703
26,-11.0393113402596
27,-14.5916118766177
28,-13.5821364722493
29,-7.07608369048669
30,-9.06653283834248
31,-5.7246759721819
32,-8.32215644633254
33,-9.22267019414551
34,-5.76751818128667
35,-10.7485955634742
36,-11.805429845146
37,-8.17333677722112
38,-10.2748544861149
39,-11.2305613472943
40,-10.7911174924019
41,-9.30893746169071
42,-8.61223238937543
43,-10.0519969764721
44,-14.4054370385378
45,-13.3321855218775
46,-15.589288012859
47,-9.23033990488751
48,-11.2573712030972
49,-13.4077049083944
50,-9.5757844321706
51,-11.5582799508519
52,-14.1267179587142
53,-12.3969209178505
54,-16.1288952615052
55,-15.3042307739991
56,-7.53839686774821
57,-12.269881231664
58,-11.9244825817984
59,-9.50524279845675
60,-12.4389012529142
61,-7.63408630409244
62,-6.0239100698796
63,-8.08158258018563
64,-8.16833137011258
65,-8.1937521190998
66,-10.7509295348049
67,-7.74621818316573
68,-6.90449004202789
69,-8.40728741004943
70,-10.3947259837783
71,-6.54285770199634
72,-8.97619636004423
73,-8.02506375478533
74,-9.54600030917106
75,-7.70515870512475
76,-14.8767836032981
77,-13.586922341045
78,-13.0898089133603
79,-12.885302770459
80,-9.94859579371229
81,-12.5665761433189
82,-12.46299897436
83,-12.22283927107
84,-11.8700107704713
85,-9.52899221333412
86,-14.446248805514
87,-14.2892567210372
88,-7.39970398256497
89,-7.23877011412488
90,-10.4361380040215
91,-9.45145796332739
92,-13.3210236980858
93,-11.9797178150843
94,-10.5721116550037
95,-10.3713261484235
96,-7.54771438451608
97,-8.46299874516247
98,-8.89736218593776
99,-10.7245512066862
100,-13.3494757035508
101,-7.28548003988538
102,-13.3120066076257
103,-12.7808813888281
104,-4.9809984045563
105,-9.49159911675277
106,-10.46395494415
107,-10.7072097702745
108,-11.4233886170526
109,-9.94973100987526
110,-8.61343894803957
111,-11.6281045553336
112,-10.5846380797072
113,-7.57760753785723
114,-9.43128258108632
115,-7.54932911566813
116,-8.29378484334977
117,-8.16044813869004
118,-10.2125723527868
119,-10.1415644778663
120,-11.7733342906707
121,-15.5271474264773
122,-6.70137180914733
123,-13.5630095355709
124,-8.24701908755845
125,-10.0273711790684
126,-9.48063576193706
127,-7.12819830653412
128,-11.139951162788
129,-10.8393639703812
130,-13.0639586297772
131,-10.7529699152027
132,-7.1815388545634
133,-13.2098282051359
134,-9.82386790033187
135,-11.50389177821
136,-9.76997357342272
137,-9.01235175190664
138,-14.1051900306608
139,-5.79536099954742
140,-10.8572878866138
141,-11.4146517181641
142,-13.3148780582012
143,-9.94892810163315
144,-14.8196290065988
145,-7.16046361623649
146,-6.47942291892975
147,-10.1340341648826
148,-7.43594414115728
149,-4.88147856567833
150,-11.473344294221
151,-7.01008959850325
